group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Part 2,,none,,,997900.0,ns,144
Part 2,,none,,,1978600.0,ns,288
Part 2,,none,,,2983100.0,ns,432
Part 2,,none,,,3975400.0,ns,576
Part 2,,none,,,4956200.0,ns,720
Part 2,,none,,,5979400.0,ns,864
Part 2,,none,,,6951900.0,ns,1008
Part 2,,none,,,7952800.0,ns,1152
Part 2,,none,,,8942600.0,ns,1296
Part 2,,none,,,9948700.0,ns,1440
Part 2,,none,,,10922800.0,ns,1584
Part 2,,none,,,11929100.0,ns,1728
Part 2,,none,,,12917500.0,ns,1872
Part 2,,none,,,13914800.0,ns,2016
Part 2,,none,,,14928500.0,ns,2160
Part 2,,none,,,15908600.0,ns,2304
Part 2,,none,,,16940000.0,ns,2448
Part 2,,none,,,17929300.0,ns,2592
Part 2,,none,,,18960500.0,ns,2736
Part 2,,none,,,19953300.0,ns,2880
Part 2,,none,,,20920900.0,ns,3024
Part 2,,none,,,21946600.0,ns,3168
Part 2,,none,,,22922900.0,ns,3312
Part 2,,none,,,23975700.0,ns,3456
Part 2,,none,,,24945200.0,ns,3600
Part 2,,none,,,25916100.0,ns,3744
Part 2,,none,,,26929000.0,ns,3888
Part 2,,none,,,27929500.0,ns,4032
Part 2,,none,,,28828600.0,ns,4176
Part 2,,none,,,29830900.0,ns,4320
Part 2,,none,,,30927500.0,ns,4464
Part 2,,none,,,31910600.0,ns,4608
Part 2,,none,,,32915700.0,ns,4752
Part 2,,none,,,33909100.0,ns,4896
Part 2,,none,,,34915600.0,ns,5040
Part 2,,none,,,35974300.0,ns,5184
Part 2,,none,,,36790500.0,ns,5328
Part 2,,none,,,37748200.0,ns,5472
Part 2,,none,,,38935500.0,ns,5616
Part 2,,none,,,39752800.0,ns,5760
Part 2,,none,,,40759100.0,ns,5904
Part 2,,none,,,41750600.0,ns,6048
Part 2,,none,,,42765700.0,ns,6192
Part 2,,none,,,43712300.0,ns,6336
Part 2,,none,,,44723500.0,ns,6480
Part 2,,none,,,45741700.0,ns,6624
Part 2,,none,,,46702600.0,ns,6768
Part 2,,none,,,48431900.0,ns,6912
Part 2,,none,,,48831500.0,ns,7056
Part 2,,none,,,49870000.0,ns,7200
Part 2,,none,,,50833500.0,ns,7344
Part 2,,none,,,51838200.0,ns,7488
Part 2,,none,,,52801000.0,ns,7632
Part 2,,none,,,53786000.0,ns,7776
Part 2,,none,,,54777300.0,ns,7920
Part 2,,none,,,55754200.0,ns,8064
Part 2,,none,,,56793600.0,ns,8208
Part 2,,none,,,57777800.0,ns,8352
Part 2,,none,,,58784700.0,ns,8496
Part 2,,none,,,59748000.0,ns,8640
Part 2,,none,,,60798700.0,ns,8784
Part 2,,none,,,61691100.0,ns,8928
Part 2,,none,,,67847100.0,ns,9072
Part 2,,none,,,67925400.0,ns,9216
Part 2,,none,,,74718800.0,ns,9360
Part 2,,none,,,80932600.0,ns,9504
Part 2,,none,,,68393100.0,ns,9648
Part 2,,none,,,67705200.0,ns,9792
Part 2,,none,,,77008100.0,ns,9936
Part 2,,none,,,72940400.0,ns,10080
Part 2,,none,,,91265200.0,ns,10224
Part 2,,none,,,71963800.0,ns,10368
Part 2,,none,,,73119100.0,ns,10512
Part 2,,none,,,74030300.0,ns,10656
Part 2,,none,,,75868100.0,ns,10800
Part 2,,none,,,75763700.0,ns,10944
Part 2,,none,,,76939800.0,ns,11088
Part 2,,none,,,82476400.0,ns,11232
Part 2,,none,,,78694300.0,ns,11376
Part 2,,none,,,79577100.0,ns,11520
Part 2,,none,,,80626200.0,ns,11664
Part 2,,none,,,81498400.0,ns,11808
Part 2,,none,,,82481000.0,ns,11952
Part 2,,none,,,83306900.0,ns,12096
Part 2,,none,,,84280000.0,ns,12240
Part 2,,none,,,86339100.0,ns,12384
Part 2,,none,,,87310200.0,ns,12528
Part 2,,none,,,87672500.0,ns,12672
Part 2,,none,,,88528600.0,ns,12816
Part 2,,none,,,89401700.0,ns,12960
Part 2,,none,,,90416900.0,ns,13104
Part 2,,none,,,91471500.0,ns,13248
Part 2,,none,,,92443800.0,ns,13392
Part 2,,none,,,93417200.0,ns,13536
Part 2,,none,,,94462800.0,ns,13680
Part 2,,none,,,95329200.0,ns,13824
Part 2,,none,,,96456000.0,ns,13968
Part 2,,none,,,97430900.0,ns,14112
Part 2,,none,,,98320100.0,ns,14256
Part 2,,none,,,99220100.0,ns,14400
